2020-08-09 09:50:52.591 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-08-09 09:50:52.605 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@313ac989, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4562e04d, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@2a65fe7c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4135c3b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6302bbb1, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@31304f14]
2020-08-09 09:50:52.651 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-dao.xml]
2020-08-09 09:50:52.750 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-service.xml]
2020-08-09 09:50:52.825 [main] INFO  o.s.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@7770f470: startup date [Sun Aug 09 09:50:52 CST 2020]; root of context hierarchy
2020-08-09 09:50:54.021 [Thread-0] INFO  o.s.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@7770f470: startup date [Sun Aug 09 09:50:52 CST 2020]; root of context hierarchy
2020-08-09 10:18:47.374 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-08-09 10:18:47.385 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@35d019a3, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@689604d9, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@18078bef, org.springframework.test.context.support.DirtiesContextTestExecutionListener@799f10e1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4c371370, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@145f66e3]
2020-08-09 10:18:47.433 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-dao.xml]
2020-08-09 10:18:47.530 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-service.xml]
2020-08-09 10:18:47.596 [main] INFO  o.s.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@b2c9a9c: startup date [Sun Aug 09 10:18:47 CST 2020]; root of context hierarchy
2020-08-09 10:18:48.789 [Thread-0] INFO  o.s.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@b2c9a9c: startup date [Sun Aug 09 10:18:47 CST 2020]; root of context hierarchy
