2020-07-30 10:46:11.399 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-07-30 10:46:11.413 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@185a6e9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6f03482, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@9d5509a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@179ece50, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3b0090a4, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3cd3e762]
2020-07-30 10:46:11.449 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-dao.xml]
2020-07-30 10:46:11.551 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-service.xml]
2020-07-30 10:46:11.619 [main] INFO  o.s.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@7ee8290b: startup date [Thu Jul 30 10:46:11 CST 2020]; root of context hierarchy
2020-07-30 10:46:13.326 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [org/springframework/jdbc/support/sql-error-codes.xml]
2020-07-30 10:46:13.352 [main] INFO  o.s.jdbc.support.SQLErrorCodesFactory - SQLErrorCodes loaded: [DB2, Derby, H2, HSQL, Informix, MS-SQL, MySQL, Oracle, PostgreSQL, Sybase, Hana]
2020-07-30 10:46:13.361 [Thread-0] INFO  o.s.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@7ee8290b: startup date [Thu Jul 30 10:46:11 CST 2020]; root of context hierarchy
2020-07-30 10:50:00.555 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-07-30 10:50:00.565 [main] INFO  o.s.t.c.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@477b4cdf, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@77c2494c, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@f5958c9, org.springframework.test.context.support.DirtiesContextTestExecutionListener@233795b6, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3eb738bb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5bda8e08]
2020-07-30 10:50:00.599 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-dao.xml]
2020-07-30 10:50:00.698 [main] INFO  o.s.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/spring-service.xml]
2020-07-30 10:50:00.758 [main] INFO  o.s.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@399c4be1: startup date [Thu Jul 30 10:50:00 CST 2020]; root of context hierarchy
2020-07-30 10:50:02.269 [Thread-0] INFO  o.s.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@399c4be1: startup date [Thu Jul 30 10:50:00 CST 2020]; root of context hierarchy
